nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
PRESIDENT Fromage fondu,1,Produits Laitiers,16.490,,,,,Monoprix,Tunisie
MILKANA Fromage fondu,1,Produits Laitiers,16.990,14.590,,,,Monoprix,Tunisie
NOVACHEESE Préparation alimentaire...,1,Produits Laitiers,16.500,,,,,Monoprix,Tunisie
MERCI CHEF Bûchette de chèvre,1,Produits Laitiers,16.990,,,,,Monoprix,Tunisie
MERCI CHEF Bûchette de chèvre,1,Produits Laitiers,17.490,,,,,Monoprix,Tunisie
NATIONAL Camembert,1,Produits Laitiers,18.390,,,,,Monoprix,Tunisie
CALIFE Camembert,1,Produits Laitiers,18.450,,,,,Monoprix,Tunisie
TOMME DE TEBOURBA Camembert,1,Produits Laitiers,18.450,,,,,Monoprix,Tunisie
MAJESTE Fromage râpé,1,Produits Laitiers,18.570,,,,,Monoprix,Tunisie
MERCI CHEF Fromage de chèvre pyramide,1,Produits Laitiers,18.850,,,,,Monoprix,Tunisie
PAYSAN BRETON Fromage blanc,1,Produits Laitiers,18.900,,,,,Monoprix,Tunisie
PAYSAN BRETON Fromage fouetté,1,Produits Laitiers,18.900,,,,,Monoprix,Tunisie
PAYSAN BRETON Madame loïk,1,Produits Laitiers,18.900,,,,,Monoprix,Tunisie
DELICE Fromage fondu râpé au...,1,Produits Laitiers,19.100,,,,,Monoprix,Tunisie
ENTREMONT Gruyère emmental,1,Produits Laitiers,19.370,,,,,Monoprix,Tunisie
PAYSAN BRETON Bûchette de chèvre,1,Produits Laitiers,19.490,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,19.590,,,,,Monoprix,Tunisie
ZANETTI Fromage,1,Produits Laitiers,19.990,,,,,Monoprix,Tunisie
ZANETTI Parmiggiano reggiano,1,Produits Laitiers,19.990,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,20.250,,,,,Monoprix,Tunisie
MERCI CHEF Bûchette de chèvre,1,Produits Laitiers,21.490,,,,,Monoprix,Tunisie
FIORE Râpé mixte,1,Produits Laitiers,22.560,,,,,Monoprix,Tunisie
FROMY Fromage fondu,1,Produits Laitiers,25.590,,,,,Monoprix,Tunisie
ZANETTI Fromage,1,Produits Laitiers,26.490,,,,,Monoprix,Tunisie
MAJESTE Préparation fromagère,1,Produits Laitiers,27.900,,,,,Monoprix,Tunisie
MAJESTE Préparation fromagère,1,Produits Laitiers,27.900,,,,,Monoprix,Tunisie
MAJESTE Préparation fromagère cheddar,1,Produits Laitiers,27.900,,,,,Monoprix,Tunisie
MAJESTE Préparation fromagère gruyère,1,Produits Laitiers,27.900,,,,,Monoprix,Tunisie
CAVALIERE Fromage gouda,1,Produits Laitiers,43.900,29.900,,,,Monoprix,Tunisie
PAYSAN BRETON Fromage gruyère,1,Produits Laitiers,31.230,,,,,Monoprix,Tunisie
FROMY Fromage fondu râpé,1,Produits Laitiers,31.500,,,,,Monoprix,Tunisie
ZANETTI Fromage,1,Produits Laitiers,31.900,,,,,Monoprix,Tunisie
FROMY Fromage fondu rapé,1,Produits Laitiers,33.000,,,,,Monoprix,Tunisie
DELICE Fromage fondu rapé,1,Produits Laitiers,35.900,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,36.000,,,,,Monoprix,Tunisie
MONT REGAL Fromage gouda,1,Produits Laitiers,36.500,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,36.900,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu râpé,1,Produits Laitiers,37.000,,,,,Monoprix,Tunisie
